tstidn,expidn,unique,agepar,region,expsit,gender,poccup,religr,politr,pedlev,fedlev,stbbu1,stbbu2,stbbu3,stbbu4,stbbu5,stbbu6,stbbu7,stbbu8,stbse1,stbse2,stbse3,stbse4,stbse5,stbse6,nssgv1,nssgv2,nssgv3,nssgv4,nssgv5,nssgv6,nssgv7,nsssc1,nsssc2,nsssc3,nsssc4,nsssc5,nsssc6,probl1,probl2,probl3,probl4,probl5,crt1ty,crt2ty,crt3ty,crt4ty,crt5ty,crt6ty,crt7ty,crt1co,crt2co,crt3co,crt4co,crt5co,crt6co,crt7co,crtsco,sapps1,sapps2,sapps3,sapps4,sapco1,sapco2,sapco3,sapco4,sappa1,sappa2,sappa3,sappa4,sapsc1,sapsc2,sapsc3,sapsc4,num1nu,num2nu,num3nu,num1rf,num2rf,num3rf,num1di,num2di,num3di,relitx,politx,crt1tx,crt2tx,crt3tx,crt4tx,crt5tx,crt6tx,crt7tx,num1tx,num2tx,num3tx,expidt,timest
1,1,1 UN,24,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,1,1,1,1,2,1,1,1,2,1,1,2,2,4,4,2,1,3,3,4,2,1,1,1,1,1,1,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,001,28/08/2023 10:24:34
2,2,1 UN,26,15,1 PI,2 MA,5 HD,9 NA,9 NA,9 NA,9 NA,1,1,1,1,2,1,1,1,3,2,2,4,2,2,3,3,1,2,1,4,3,2,1,1,2,1,1,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,002,28/08/2023 10:26:55
3,3,1 UN,24,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,2,2,3,2,4,4,3,4,4,2,4,4,4,3,3,3,3,5,4,5,5,2,1,1,3,3,1,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,003,28/08/2023 11:26:00
4,4,1 UN,23,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,1,1,2,1,1,2,2,2,4,2,2,2,4,4,4,3,2,3,2,4,3,2,1,1,1,3,1,0,0,0,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,004,28/08/2023 11:28:05
5,5,1 UN,29,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,3,3,4,4,3,3,3,3,3,4,2,4,3,4,3,2,3,4,3,5,9,2,5,5,1,1,1,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,005,28/08/2023 11:33:16
6,7,2 DU,27,15,1 PI,2 MA,6 OT,9 NA,9 NA,9 NA,9 NA,2,2,1,2,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,1,2,2,3,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,007,28/08/2023 12:01:10
7,7,2 DU,26,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,1,1,1,1,2,1,1,2,2,2,2,4,4,3,3,4,5,5,5,4,5,3,1,1,1,1,1,0,1,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,007,28/08/2023 12:08:29
8,8,1 UN,25,15,1 PI,2 MA,2 IW,9 NA,9 NA,9 NA,9 NA,1,1,1,1,4,4,4,4,4,1,4,4,4,4,5,5,3,5,1,5,5,5,1,1,1,5,1,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,008,28/08/2023 12:06:19
9,9,1 UN,22,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,2,1,1,4,3,3,1,4,3,4,4,4,4,4,2,3,4,4,5,5,3,3,2,3,3,4,4,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,009,28/08/2023 12:08:10
10,10,1 UN,18,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,1,2,2,2,3,2,2,2,3,3,3,4,4,3,3,3,4,5,4,9,4,3,3,2,3,3,2,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0010,28/08/2023 12:30:23
11,11,1 UN,31,13,1 PI,1 FE,4 TC,9 NA,9 NA,9 NA,9 NA,4,3,2,3,3,3,2,3,4,1,3,4,3,3,4,4,4,4,5,5,4,2,1,1,1,2,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0011,28/08/2023 12:35:51
